"","area","age","mean","lower_ART","upper_ART","inc","lower_inc","upper_inc","level","prev","lower_prev","upper_prev","country","sex"
"3041","Iramba Dc","Y010_014",0.806992707370593,0.575384282621325,0.943648393090242,0,0,0,4,0.00288345892366511,0.00170671740118143,0.00431877883882471,"TZA","female"
"3042","Iramba Dc","Y015_019",0.965071530565088,0.894742484496063,0.991058973654244,0.000778894487327971,0.000438459345643547,0.00125856433888054,4,0.00737865288310853,0.0045724566762042,0.0107642371733017,"TZA","female"
"3043","Iramba Dc","Y020_024",0.96145917972158,0.889847279148178,0.989419774028751,0.00111184010736179,0.000625809631174095,0.00179684538180706,4,0.016739381512522,0.0107183292839662,0.0246767269985052,"TZA","female"
"3044","Iramba Dc","Y025_029",0.965144182838414,0.899828868165171,0.990374646751152,0.00110163862949904,0.000620069309686173,0.00178035198589737,4,0.0348997652607647,0.0228308408823515,0.0505246888105344,"TZA","female"
"3045","Iringa Dc","Y010_014",0.858880058416975,0.652182982679506,0.964460304691496,0,0,0,4,0.00701512347371276,0.00487865312848643,0.00975896181157547,"TZA","female"
"3046","Iringa Dc","Y015_019",0.986121296987239,0.963929037455075,0.996080366121179,0.00127105701609098,0.000933471502492531,0.00172449322920482,4,0.0167432526977105,0.0122351922673219,0.0226739920496152,"TZA","female"
"3047","Iringa Dc","Y020_024",0.984709899311712,0.958155654343862,0.995620117851745,0.00181472769500761,0.00133259177924393,0.00246249633252782,4,0.0374838553954892,0.0279096795397479,0.0500183083502601,"TZA","female"
"3048","Iringa Dc","Y025_029",0.986237880978922,0.964856626417303,0.995653209306651,0.0017985192868671,0.00132069331106262,0.0024404931367132,4,0.0663681914355902,0.048917355266384,0.088335980439055,"TZA","female"
"3049","Iringa Mc","Y010_014",0.673832940072102,0.497651024574441,0.811662400888402,0,0,0,4,0.011921785888124,0.00797678958051021,0.0166134770665393,"TZA","female"
"3050","Iringa Mc","Y015_019",0.985019528712268,0.963663158274999,0.995253153660285,0.00203668934978083,0.00148115408155559,0.00271758507478668,4,0.0194220897484393,0.0136918974315167,0.0261623072803934,"TZA","female"
"3051","Iringa Mc","Y020_024",0.98358659781493,0.960290286792408,0.994457999836859,0.00290800231115677,0.00211440023368347,0.00388110015779714,4,0.0464096140982301,0.0326175924704113,0.0638660383492392,"TZA","female"
"3052","Iringa Mc","Y025_029",0.985204389837843,0.963777067126565,0.994781201764273,0.00287992128055199,0.00209399105798133,0.00384360339374226,4,0.0982314235270678,0.0700097396732819,0.130383330662665,"TZA","female"
"3053","Iringa","Y010_014",0.808503971138148,0.710689471446702,0.873002717544937,0,0,0,3,0.00853909780170308,0.00736987867867579,0.00985465116250452,"TZA","female"
"3054","Iringa","Y015_019",0.981051256061101,0.965969037553754,0.990362209325029,0.0017694585932048,0.00156277283424954,0.00199708211499617,3,0.0195765344542519,0.0173347669995431,0.0221627834802527,"TZA","female"
"3055","Iringa","Y020_024",0.979402626428306,0.966586974788762,0.988131308802345,0.00260952227948402,0.00229381153687321,0.00294934491975429,3,0.0448164660557821,0.0385083983958322,0.0515512770164943,"TZA","female"
"3056","Iringa","Y025_029",0.981633939285733,0.971468958469776,0.989135274772982,0.00256044746332414,0.00225422541857881,0.0028906174955411,3,0.088386765840519,0.0774180718090288,0.0999146933624206,"TZA","female"
